"Data","minSplit","minBucket","Cp","maxDepth","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rPART_mod.SE","nDesirability","nDesirability.1"
"ACE",5,3,0,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.001,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.001,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.001,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.01,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.01,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.01,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,3,0,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.001,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.001,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.001,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.01,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.01,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.01,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,3,0,6,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0,8,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0,10,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0.001,6,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0.001,8,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0.001,10,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0.01,6,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0.01,8,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,3,0.01,10,0.7504,0.4975,0.716,0.6439,0.85,0.8089,0.7164,0.3105,0.6587,0.0253,0.9658357771261,0.9658357771261
"ACE",7,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",7,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,3,0,6,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0,8,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0,10,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0.001,6,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0.001,8,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0.001,10,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0.01,6,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0.01,8,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,3,0.01,10,0.733,0.4631,0.6994,0.6439,0.8167,0.7854,0.7139,0.3105,0.6398,0.0238,0.938123167155425,0.938123167155425
"ACE",8,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",8,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",9,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",10,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"RFE_NB",5,3,0,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",5,3,0,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",5,3,0,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",5,3,0.001,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",5,3,0.001,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",5,3,0.001,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",5,3,0.01,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",5,3,0.01,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",5,3,0.01,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",5,4,0,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0.001,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0.001,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0.001,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0.01,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0.01,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,4,0.01,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",5,6,0,6,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0,8,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0,10,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0.001,6,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0.001,8,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0.001,10,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0.01,6,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0.01,8,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",5,6,0.01,10,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,3,0,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",6,3,0,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0.001,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",6,3,0.001,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0.001,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0.01,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",6,3,0.01,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
