X0,X1,X2,X3,X4,X13,X16,X17,X19,X20,X21,X22,X43,X56,X61,X76,X78,X121,X127,X134,Y
4,7,16.59712,61.98027,3.6868,1,2,3,1,3,-1,1,1,1,1,2,9,0,0,1,1
14,13,16.53025,34.88,3.6894,1,2,3,3,4,-2,1,1,2,2,1,2,0,0,1,1
-7,22,16.88289,62.3115,3.562533,1,2,2,1,2,-1,-1,1,1,2,-1,5,0,1,1,1
6,18,16.57687,85.7517,3.6873,1,4,3,2,4,0,-1,1,2,3,3,10,0,0,0,0
9,13,16.64384,28.99,4,0,3,1,2,2,0,0,0,1,2,2,2,0,0,0,0
-8,6,16.79281,57.7436,3.579933,1,1,2,2,3,-1,-1,1,1,2,3,7,1,0,1,0
-1,11,16.7689,77.6919,3.535633,1,2,3,1,4,-2,1,1,2,3,3,10,0,0,0,1
-5,13,16.85981,44.6365,3.739233,0,3,2,3,3,-2,0,0,2,2,2,5,1,0,0,1
7,2,16.81499,81.6435,3.828125,1,3,2,1,3,0,-1,1,1,3,1,8,0,0,1,0
16,9,16.51971,16.24,3.95,0,1,2,2,3,0,1,0,1,3,2,7,0,0,1,0
11,10,16.87277,65.4118,3.774145,1,1,3,1,3,0,-1,0,2,2,1,10,0,0,1,0
-2,4,16.95203,75.02075,3.59665,1,2,3,2,4,-1,0,0,1,1,1,3,0,0,1,1
1,6,17.51781,28.81,3.721625,1,3,1,4,3,1,2,1,2,1,-1,4,0,0,1,1
7,2,17.53973,0,3.7914,0,3,2,2,3,0,1,0,1,3,2,10,1,0,0,0
-2,8,16.55342,0,3.777733,0,2,2,1,3,-1,0,0,1,2,2,8,0,0,0,0
11,11,16.80534,52.1578,3.72605,1,1,3,2,4,0,1,1,1,2,1,2,0,0,0,0
6,7,15.61918,16.24,4,1,1,2,2,3,0,0,1,2,1,3,10,0,0,0,0
-5,5,16.93332,52.1269,3.746133,0,2,3,1,3,0,1,0,1,3,3,1,0,0,0,0
-13,-1,16.77545,74.0317,3.544867,1,1,2,2,4,0,2,1,2,3,3,3,0,0,0,1
-11,15,16.77299,45.9271,3.737333,0,2,1,1,3,0,-1,0,1,3,3,1,0,1,0,0
14,19,16.79647,89.72,4,0,2,4,1,3,-2,0,0,1,2,1,8,0,0,0,0
7,14,16.80104,50.9185,3.7264,1,2,2,1,5,-2,0,1,1,3,1,4,0,0,0,0
30,9,16.88462,53.0759,3.8338,1,1,4,2,4,-2,0,1,2,3,1,10,0,0,0,1
8,22,16.99367,78.24457,3.511314,1,3,2,3,2,-1,1,1,2,3,0,3,1,0,0,1
6,16,16.78749,52.5317,3.7343,0,1,3,3,5,-2,1,0,2,3,2,8,0,0,0,0
4,7,16.88297,95.31435,3.766,0,2,3,1,4,-1,0,0,1,2,1,5,0,0,0,0
4,9,16.621,54.8873,3.6813,0,1,2,3,4,0,0,0,1,2,1,9,0,0,0,0
5,6,16.82166,52.816,3.748114,0,3,2,2,3,-2,1,0,1,2,1,5,0,0,0,0
8,19,16.59348,66.4473,3.7671,0,1,2,2,5,1,0,0,1,3,3,2,0,0,0,0
-5,5,16.98152,91.3957,3.257533,0,3,4,4,5,-1,2,0,1,3,3,6,0,0,0,0
8,6,16.81022,0,3.725414,0,2,1,3,3,0,0,0,1,2,2,7,0,0,0,0
8,11,16.67931,72.0682,3.758,1,1,3,1,5,0,0,1,2,3,3,10,0,0,0,0
16,14,16.7254,52.81565,3.76915,0,1,1,2,3,0,0,0,1,3,1,7,0,0,0,0
16,18,14.56712,34.88,3.9,0,1,2,1,2,-2,1,0,2,2,3,10,0,0,0,0
4,6,16.07945,0,3.75,1,2,4,3,2,0,1,1,1,2,-1,9,0,0,1,1
16,12,17.43836,34.32,3.76,1,3,4,2,3,0,0,0,1,2,1,5,0,1,0,1
9,9,17.06301,42.87,3.96,1,2,2,1,3,-1,0,0,2,3,3,2,0,1,0,1
4,11,16.18904,0,3.84,0,3,2,1,4,1,0,1,2,3,3,8,1,1,1,1
18,7,16.15068,16.79,3.86,0,1,3,1,3,0,-1,0,1,2,2,10,0,0,0,0
15,13,17.30959,137.86,3.67,1,2,4,3,4,-2,0,1,2,3,2,3,0,0,0,0
10,5,15.81918,0,3.6862,1,3,2,1,3,-1,0,1,1,1,-1,4,1,0,0,1
13,14,15.44658,11.2,3.71,1,4,1,3,3,-1,0,1,1,1,-1,8,0,0,0,0
3,4,16.39452,0,3.56,0,1,3,4,1,-1,0,1,1,1,0,2,0,0,0,0
5,9,17.73425,182.48,3.28,1,3,4,3,3,-1,0,0,2,2,1,10,0,1,1,0
10,6,17.10137,158.03,3.71,0,2,2,3,2,1,0,0,1,2,1,1,0,0,0,0
8,9,16.86027,78.15,3.5,0,4,2,1,3,0,0,0,1,2,2,3,0,0,1,0
4,10,16.70959,0,3.66,1,2,1,2,3,-1,1,0,2,2,2,1,0,0,0,0
1,0,16.08219,29.51,3.736675,0,1,4,2,4,-1,1,1,1,3,3,4,0,0,0,0
7,19,16.23014,182.48,4,0,2,3,3,1,0,0,0,1,2,1,6,0,0,1,0
0,10,17.2137,46.88,3.75,1,1,3,2,5,0,-1,1,2,3,2,3,0,0,0,0
-11,9,16.3589,160.22,3.9,1,2,1,3,1,-2,0,1,2,2,3,8,0,0,0,0
12,18,17.36712,47.45,3.73,1,4,3,2,1,-1,0,1,1,2,1,5,0,0,1,1
0,1,16.84932,24.16,4,1,4,2,4,4,-1,0,1,2,1,2,9,0,0,1,1
0,0,17.02748,98.33573,3.6062,0,3,4,4,5,-1,2,0,1,3,1,6,0,0,0,1
-3,12,16.66849,11.2,3.16,1,3,3,2,4,-1,0,1,2,3,3,2,0,0,0,0
6,8,17.30959,136.42,4,0,3,4,3,3,0,0,0,1,2,1,6,0,1,0,0
12,16,15.53699,160.22,4,1,1,3,2,3,-1,0,1,2,3,1,7,0,0,1,1
5,5,17.41918,0,3.6,1,4,3,2,3,1,1,1,1,2,1,10,0,0,0,0
-3,2,16.44658,0,3.69,0,2,1,2,4,1,0,0,1,3,3,7,0,0,0,0
4,7,16.66575,34.32,3.95,1,1,1,2,3,0,0,0,1,2,2,5,0,0,0,0
14,10,18.23836,150.9,3.9,1,3,3,4,5,-1,-1,0,1,1,0,6,0,0,0,0
1,0,16.76712,158.03,3.81,0,2,3,1,3,0,0,0,1,3,0,1,0,0,0,0
-1,17,17.2411,163.48,3.29,1,2,2,1,5,-1,1,1,2,1,0,7,0,0,1,1
4,11,16.84658,0,3.93,1,4,1,2,4,-2,0,1,1,2,1,8,0,0,0,0
7,19,17.00274,47.45,3.9,1,3,4,3,3,0,0,1,2,3,0,6,0,1,0,1
29,15,16.61918,70.08,3.63,1,3,4,4,3,0,-1,1,1,2,2,6,0,1,0,1
11,14,16.68219,24.79,4,0,1,1,2,3,0,0,0,1,3,3,6,0,0,0,0
0,8,16.78356,231.42,4,1,2,1,4,4,-1,0,1,2,3,2,10,0,1,1,1
0,-12,16.57534,172.98,0,0,3,2,3,2,-1,0,0,1,3,3,6,0,0,0,0
3,10,16.88375,67.5242,3.6589,0,1,4,3,3,0,2,0,1,3,3,6,1,0,0,0
7,5,16.7726,34.32,4,0,3,2,4,4,-2,-1,0,1,1,-1,7,0,0,1,1
15,16,16.56164,142.96,3.69,0,2,3,3,4,0,0,1,2,3,3,1,0,0,1,0
-2,-1,17.16164,160.22,3.71,0,4,3,1,4,0,1,0,1,1,1,10,0,0,0,1
11,13,17.34521,24.79,4,1,3,4,2,3,1,1,1,2,3,3,4,0,0,1,1
3,12,16.99178,68.7172,3.6461,0,3,4,4,2,0,0,0,1,2,3,6,0,0,0,0
8,14,17.42425,117.62243,3.606,1,2,3,4,5,-1,-1,1,1,1,0,6,0,0,0,0
18,16,17.2137,24.79,4,1,1,2,1,3,-1,-1,1,2,3,1,9,1,1,1,1
-15,1,17.4137,0,4,0,2,3,4,5,-2,0,0,1,3,3,1,0,0,0,0
0,6,17.46027,225.25,4,1,3,1,1,4,-1,1,1,2,2,1,10,0,0,1,1
1,10,17.21918,16.79,3,0,1,1,2,3,-1,0,0,1,2,2,4,0,0,0,0
12,2,17.47945,160.22,3.26,1,2,3,4,5,-1,0,1,1,2,0,2,0,0,0,0
7,14,17.27397,78.15,3.65,1,1,1,2,1,0,0,1,2,3,3,7,0,1,1,1
3,13,17.38356,70.08,3.98,0,2,2,1,4,-1,0,0,1,2,1,2,0,0,1,1
14,1,17.45205,187.82,3.4,0,2,2,4,3,0,-1,0,1,3,1,1,0,0,0,0
-4,-2,17.02449,95.0828,3.629533,1,4,3,1,1,1,1,1,1,3,3,6,0,0,0,0
5,10,16.89863,158.03,3.61,0,3,4,1,3,0,0,0,1,2,1,6,0,0,1,0
